image,ground_truth_forged,predicted_forged,confidence,iou,precision,recall,f1,n_regions,runtime_sec
forged_000.png,True,True,0.7299,0.8771,0.9676,0.9036,0.9345,1,0.29
forged_001.png,True,True,0.6488,0.5265,0.963,0.5373,0.6898,1,0.33
forged_002.png,True,True,0.6892,0.8388,0.9956,0.8419,0.9123,1,0.24
forged_003.png,True,True,0.67,0.8505,0.9853,0.8615,0.9192,1,0.37
forged_004.png,True,True,0.7566,0.8545,0.9777,0.8715,0.9216,1,0.3
forged_005.png,True,False,0.0,0.0,0.0,0.0,0.0,0,0.23
forged_006.png,True,True,0.7786,0.8525,0.9978,0.8541,0.9204,1,0.24
forged_007.png,True,False,0.0,0.0,0.0,0.0,0.0,0,0.21
forged_008.png,True,True,0.7058,0.8659,0.9467,0.9103,0.9281,1,0.24
forged_009.png,True,True,0.6586,0.805,1.0,0.805,0.892,1,0.44
forged_010.png,True,True,0.6749,0.7688,0.9981,0.7699,0.8693,1,0.26
forged_011.png,True,True,0.6968,0.8648,0.976,0.8836,0.9275,1,0.36
clean_000.png,False,False,0.0,1.0,1.0,1.0,1.0,0,0.21
clean_001.png,False,False,0.0,1.0,1.0,1.0,1.0,0,0.19
clean_002.png,False,False,0.0,1.0,1.0,1.0,1.0,0,0.37
clean_003.png,False,False,0.0,1.0,1.0,1.0,1.0,0,0.24
clean_004.png,False,False,0.0,1.0,1.0,1.0,1.0,0,2.85
clean_005.png,False,False,0.0,1.0,1.0,1.0,1.0,0,0.31
