image,true_label,verdict,freq_score,noise_score,classifier_score,flagged_ai_strict,flagged_ai_lenient,runtime_sec
real_000.png,real,likely_real,0.2141,0.0854,,False,False,0.19
real_001.png,real,likely_real,0.2109,0.1275,,False,False,0.21
real_002.png,real,likely_real,0.2265,0.1394,,False,False,0.32
real_003.png,real,likely_real,0.204,0.0545,,False,False,0.31
real_004.png,real,likely_real,0.2193,0.0657,,False,False,0.32
real_005.png,real,likely_real,0.2045,0.1473,,False,False,0.36
real_006.png,real,likely_real,0.2131,0.1227,,False,False,0.3
real_007.png,real,likely_real,0.2126,0.0989,,False,False,0.22
real_008.png,real,likely_real,0.2137,0.1706,,False,False,0.32
real_009.png,real,likely_real,0.217,0.1156,,False,False,0.28
real_010.png,real,likely_real,0.2221,0.0576,,False,False,0.23
real_011.png,real,likely_real,0.2217,0.128,,False,False,0.29
real_012.png,real,likely_real,0.2284,0.0446,,False,False,0.28
real_013.png,real,likely_real,0.2124,0.1195,,False,False,0.21
real_014.png,real,likely_real,0.2129,0.1883,,False,False,0.32
real_015.png,real,likely_real,0.2313,0.1335,,False,False,0.3
real_016.png,real,likely_real,0.2105,0.067,,False,False,0.25
real_017.png,real,likely_real,0.2081,0.2259,,False,False,0.25
real_018.png,real,likely_real,0.2169,0.1101,,False,False,0.25
real_019.png,real,likely_real,0.2116,0.0875,,False,False,0.22
real_020.png,real,likely_real,0.213,0.1038,,False,False,0.34
real_021.png,real,likely_real,0.2137,0.1225,,False,False,0.3
real_022.png,real,likely_real,0.2537,0.1897,,False,False,0.33
real_023.png,real,likely_real,0.3203,0.1095,,False,False,0.27
real_024.png,real,likely_real,0.2203,0.1075,,False,False,0.61
real_025.png,real,likely_real,0.2117,0.1386,,False,False,0.56
real_026.png,real,likely_real,0.2653,0.1538,,False,False,0.44
real_027.png,real,likely_real,0.2105,0.119,,False,False,0.24
real_028.png,real,likely_real,0.2759,0.108,,False,False,0.38
real_029.png,real,likely_real,0.2024,0.0207,,False,False,0.31
real_030.png,real,likely_real,0.2125,0.1523,,False,False,0.25
real_031.png,real,likely_real,0.2078,0.0809,,False,False,0.24
real_032.png,real,likely_real,0.2023,0.1158,,False,False,0.25
real_033.png,real,likely_real,0.2209,0.0916,,False,False,0.28
real_034.png,real,likely_real,0.2092,0.1042,,False,False,0.34
real_035.png,real,likely_real,0.2669,0.1746,,False,False,0.44
real_036.png,real,likely_real,0.2139,0.1856,,False,False,0.52
real_037.png,real,likely_real,0.2078,0.0747,,False,False,0.53
real_038.png,real,likely_real,0.2303,0.1719,,False,False,0.27
real_039.png,real,likely_real,0.2312,0.1,,False,False,0.27
real_040.png,real,likely_real,0.2105,0.1891,,False,False,0.3
real_041.png,real,likely_real,0.2205,0.0647,,False,False,0.25
real_042.png,real,likely_real,0.2131,0.194,,False,False,0.21
real_043.png,real,likely_real,0.2074,0.0837,,False,False,0.21
real_044.png,real,likely_real,0.2184,0.1174,,False,False,0.22
real_045.png,real,likely_real,0.2131,0.0693,,False,False,0.23
