threshold,precision,recall,f1,false_positive_rate,accuracy,tp,fp,fn,tn
0.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
2.5,0.6,1.0,0.75,1.0,0.6,15,10,0,0
5.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
7.5,0.6,1.0,0.75,1.0,0.6,15,10,0,0
10.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
12.5,0.6,1.0,0.75,1.0,0.6,15,10,0,0
15.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
17.5,0.6,1.0,0.75,1.0,0.6,15,10,0,0
20.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
22.5,0.6,1.0,0.75,1.0,0.6,15,10,0,0
25.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
27.5,0.6,1.0,0.75,1.0,0.6,15,10,0,0
30.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
32.5,0.6,1.0,0.75,1.0,0.6,15,10,0,0
35.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
37.5,0.5833,0.9333,0.7179,1.0,0.56,14,10,1,0
40.0,0.5833,0.9333,0.7179,1.0,0.56,14,10,1,0
42.5,0.5652,0.8667,0.6842,1.0,0.52,13,10,2,0
45.0,0.5789,0.7333,0.647,0.8,0.52,11,8,4,2
47.5,0.5789,0.7333,0.647,0.8,0.52,11,8,4,2
50.0,0.6111,0.7333,0.6666,0.7,0.56,11,7,4,3
52.5,0.6111,0.7333,0.6666,0.7,0.56,11,7,4,3
55.0,0.5882,0.6667,0.625,0.7,0.52,10,7,5,3
57.5,0.5,0.4667,0.4828,0.7,0.4,7,7,8,3
60.0,0.5385,0.4667,0.5,0.6,0.44,7,6,8,4
62.5,0.5833,0.4667,0.5185,0.5,0.48,7,5,8,5
65.0,0.625,0.3333,0.4348,0.3,0.48,5,3,10,7
67.5,1.0,0.3333,0.5,0.0,0.6,5,0,10,10
70.0,1.0,0.2667,0.4211,0.0,0.56,4,0,11,10
72.5,1.0,0.2,0.3333,0.0,0.52,3,0,12,10
75.0,1.0,0.1333,0.2352,0.0,0.48,2,0,13,10
77.5,,0.0,,0.0,0.4,0,0,15,10
80.0,,0.0,,0.0,0.4,0,0,15,10
82.5,,0.0,,0.0,0.4,0,0,15,10
85.0,,0.0,,0.0,0.4,0,0,15,10
87.5,,0.0,,0.0,0.4,0,0,15,10
90.0,,0.0,,0.0,0.4,0,0,15,10
92.5,,0.0,,0.0,0.4,0,0,15,10
95.0,,0.0,,0.0,0.4,0,0,15,10
97.5,,0.0,,0.0,0.4,0,0,15,10
100.0,,0.0,,0.0,0.4,0,0,15,10
