threshold,precision,recall,f1,false_positive_rate,accuracy,tp,fp,fn,tn
0.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
2.5,0.6,1.0,0.75,1.0,0.6,15,10,0,0
5.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
7.5,0.6,1.0,0.75,1.0,0.6,15,10,0,0
10.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
12.5,0.6,1.0,0.75,1.0,0.6,15,10,0,0
15.0,0.6,1.0,0.75,1.0,0.6,15,10,0,0
17.5,0.5833,0.9333,0.7179,1.0,0.56,14,10,1,0
20.0,0.5652,0.8667,0.6842,1.0,0.52,13,10,2,0
22.5,0.5909,0.8667,0.7027,0.9,0.56,13,9,2,1
25.0,0.5714,0.8,0.6666,0.9,0.52,12,9,3,1
27.5,0.55,0.7333,0.6286,0.9,0.48,11,9,4,1
30.0,0.5263,0.6667,0.5882,0.9,0.44,10,9,5,1
32.5,0.5625,0.6,0.5806,0.7,0.48,9,7,6,3
35.0,0.5625,0.6,0.5806,0.7,0.48,9,7,6,3
37.5,0.5625,0.6,0.5806,0.7,0.48,9,7,6,3
40.0,0.5625,0.6,0.5806,0.7,0.48,9,7,6,3
42.5,0.5625,0.6,0.5806,0.7,0.48,9,7,6,3
45.0,0.5714,0.5333,0.5517,0.6,0.48,8,6,7,4
47.5,0.5,0.3333,0.4,0.5,0.4,5,5,10,5
50.0,0.5,0.2667,0.3479,0.4,0.4,4,4,11,6
52.5,0.8,0.2667,0.4,0.1,0.52,4,1,11,9
55.0,0.5,0.0667,0.1177,0.1,0.4,1,1,14,9
57.5,,0.0,,0.0,0.4,0,0,15,10
60.0,,0.0,,0.0,0.4,0,0,15,10
62.5,,0.0,,0.0,0.4,0,0,15,10
65.0,,0.0,,0.0,0.4,0,0,15,10
67.5,,0.0,,0.0,0.4,0,0,15,10
70.0,,0.0,,0.0,0.4,0,0,15,10
72.5,,0.0,,0.0,0.4,0,0,15,10
75.0,,0.0,,0.0,0.4,0,0,15,10
77.5,,0.0,,0.0,0.4,0,0,15,10
80.0,,0.0,,0.0,0.4,0,0,15,10
82.5,,0.0,,0.0,0.4,0,0,15,10
85.0,,0.0,,0.0,0.4,0,0,15,10
87.5,,0.0,,0.0,0.4,0,0,15,10
90.0,,0.0,,0.0,0.4,0,0,15,10
92.5,,0.0,,0.0,0.4,0,0,15,10
95.0,,0.0,,0.0,0.4,0,0,15,10
97.5,,0.0,,0.0,0.4,0,0,15,10
100.0,,0.0,,0.0,0.4,0,0,15,10
