threshold,precision,recall,f1,false_positive_rate,accuracy,tp,fp,fn,tn
0.0,0.5714,1.0,0.7272,1.0,0.5714,8,6,0,0
2.5,0.625,0.625,0.625,0.5,0.5714,5,3,3,3
5.0,0.625,0.625,0.625,0.5,0.5714,5,3,3,3
7.5,0.625,0.625,0.625,0.5,0.5714,5,3,3,3
10.0,0.625,0.625,0.625,0.5,0.5714,5,3,3,3
12.5,0.625,0.625,0.625,0.5,0.5714,5,3,3,3
15.0,0.625,0.625,0.625,0.5,0.5714,5,3,3,3
17.5,0.625,0.625,0.625,0.5,0.5714,5,3,3,3
20.0,0.625,0.625,0.625,0.5,0.5714,5,3,3,3
22.5,0.5714,0.5,0.5333,0.5,0.5,4,3,4,3
25.0,0.5714,0.5,0.5333,0.5,0.5,4,3,4,3
27.5,0.4,0.25,0.3077,0.5,0.3571,2,3,6,3
30.0,0.0,0.0,,0.5,0.2143,0,3,8,3
32.5,0.0,0.0,,0.1667,0.3571,0,1,8,5
35.0,0.0,0.0,,0.1667,0.3571,0,1,8,5
37.5,0.0,0.0,,0.1667,0.3571,0,1,8,5
40.0,0.0,0.0,,0.1667,0.3571,0,1,8,5
42.5,0.0,0.0,,0.1667,0.3571,0,1,8,5
45.0,0.0,0.0,,0.1667,0.3571,0,1,8,5
47.5,0.0,0.0,,0.1667,0.3571,0,1,8,5
50.0,,0.0,,0.0,0.4286,0,0,8,6
52.5,,0.0,,0.0,0.4286,0,0,8,6
55.0,,0.0,,0.0,0.4286,0,0,8,6
57.5,,0.0,,0.0,0.4286,0,0,8,6
60.0,,0.0,,0.0,0.4286,0,0,8,6
62.5,,0.0,,0.0,0.4286,0,0,8,6
65.0,,0.0,,0.0,0.4286,0,0,8,6
67.5,,0.0,,0.0,0.4286,0,0,8,6
70.0,,0.0,,0.0,0.4286,0,0,8,6
72.5,,0.0,,0.0,0.4286,0,0,8,6
75.0,,0.0,,0.0,0.4286,0,0,8,6
77.5,,0.0,,0.0,0.4286,0,0,8,6
80.0,,0.0,,0.0,0.4286,0,0,8,6
82.5,,0.0,,0.0,0.4286,0,0,8,6
85.0,,0.0,,0.0,0.4286,0,0,8,6
87.5,,0.0,,0.0,0.4286,0,0,8,6
90.0,,0.0,,0.0,0.4286,0,0,8,6
92.5,,0.0,,0.0,0.4286,0,0,8,6
95.0,,0.0,,0.0,0.4286,0,0,8,6
97.5,,0.0,,0.0,0.4286,0,0,8,6
100.0,,0.0,,0.0,0.4286,0,0,8,6
